
1	XAVIER INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP	Karnataka	BANGALORE RURAL	Private-Self Financing	NOT APPLICABLE	MANAGEMENT	POST GRADUATE DIPLOMA	PGDM	30-06-2025	240
2	VIVEKANAND EDUCATION SOCIETY S BUSINESS SCHOOL	Maharashtra	MUMBAI SUBURBAN	Private-Self Financing	NOT APPLICABLE	MANAGEMENT	POST GRADUATE DIPLOMA	PGDM	30-06-2025	180
3	VASAVI COLLEGE OF ENGINEERING	Telangana	HYDERABAD	Private-Self Financing	Osmania University, Hyderabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2024	60
4	VASAVI COLLEGE OF ENGINEERING	Telangana	HYDERABAD	Private-Self Financing	Osmania University, Hyderabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2024	180
5	VASAVI COLLEGE OF ENGINEERING	Telangana	HYDERABAD	Private-Self Financing	Osmania University, Hyderabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2024	180
6	VASAVI COLLEGE OF ENGINEERING	Telangana	HYDERABAD	Private-Self Financing	Osmania University, Hyderabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2024	60
7	VASAVI COLLEGE OF ENGINEERING	Telangana	HYDERABAD	Private-Self Financing	Osmania University, Hyderabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2024	60
8	MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER ENGINEERING	30-06-2025	180
9	MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
10	MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS AND TELECOMMUNICATION ENGINEERING	30-06-2025	180
11	MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INSTRUMENTATION AND CONTROL ENGINEERING	30-06-2025	60
12	RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY	Andhra Pradesh	KURNOOL	Private-Self Financing	Jawaharlal Nehru Technological University, Anantapur	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2024	120
13	RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY	Andhra Pradesh	KURNOOL	Private-Self Financing	Jawaharlal Nehru Technological University, Anantapur	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2024	120
14	RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY	Andhra Pradesh	KURNOOL	Private-Self Financing	Jawaharlal Nehru Technological University, Anantapur	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2024	120
15	RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY	Andhra Pradesh	KURNOOL	Private-Self Financing	Jawaharlal Nehru Technological University, Anantapur	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2024	420
16	DR S S S GHANDHY GOVERNMENT ENGINEERING COLLEGE SURAT	Gujarat	SURAT	Government	Gujarat Technological University, Ahmedabad	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2025	120
17	PRAGATI ENGINEERING COLLEGE	Andhra Pradesh	EAST GODAVARI	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2024	60
18	PRAGATI ENGINEERING COLLEGE	Andhra Pradesh	EAST GODAVARI	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2024	60
19	PRAGATI ENGINEERING COLLEGE	Andhra Pradesh	EAST GODAVARI	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2024	60
20	PRAGATI ENGINEERING COLLEGE	Andhra Pradesh	EAST GODAVARI	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE & ENGINEERING	30-06-2024	360
21	PRAGATI ENGINEERING COLLEGE	Andhra Pradesh	EAST GODAVARI	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2024	240
22	GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC GAJWEL DEPARTMENT OF TECHNICAL EDUCATION GOVERNMENT OF ANDHRA PRADESH	Telangana	MEDAK	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRONICS & COMMUNICATION ENGG	30-06-2026	60
23	GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC GAJWEL DEPARTMENT OF TECHNICAL EDUCATION GOVERNMENT OF ANDHRA PRADESH	Telangana	MEDAK	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	MECHANICAL ENGINEERING	30-06-2026	60
24	SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY	Sikkim	EAST SIKKIM	State Private University	NOT APPLICABLE	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2025	30
25	SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY	Sikkim	EAST SIKKIM	State Private University	NOT APPLICABLE	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE & ENGINEERING	30-06-2025	180
26	DR Y C JAMES YEN GOVT POLYTECHNIC KUPPAM	Andhra Pradesh	CHITTOOR	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRONICS & COMMUNICATION ENGG	30-06-2025	60
27	DR Y C JAMES YEN GOVT POLYTECHNIC KUPPAM	Andhra Pradesh	CHITTOOR	Government	State Board of Technical Education and Training, Hyderabad	ENGINEERING AND TECHNOLOGY	DIPLOMA	MECHANICAL ENGINEERING	30-06-2025	60
28	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	240
29	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2025	60
30	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS AND COMMUNICATIONS ENGINEERING	30-06-2025	240
31	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS AND INSTRUMENTATION ENGINEERING	30-06-2025	30
32	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
33	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2025	120
34	VELAMMAL ENGINEERING COLLEGE ENGG TECH	Tamil Nadu	THIRUVALLUR	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2025	30
