,XAVIER INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP
0,VIVEKANAND EDUCATION SOCIETY S BUSINESS SCHOOL
1,VASAVI COLLEGE OF ENGINEERING
2,VASAVI COLLEGE OF ENGINEERING
3,VASAVI COLLEGE OF ENGINEERING
4,VASAVI COLLEGE OF ENGINEERING
5,VASAVI COLLEGE OF ENGINEERING
6,MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN
7,MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN
8,MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN
9,MAHARSHI KARVE STREE SHIKSHAN SAMSTHA S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN
10,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY
11,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY
12,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY
13,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING TECHNOLOGY
14,DR S S S GHANDHY GOVERNMENT ENGINEERING COLLEGE SURAT
15,PRAGATI ENGINEERING COLLEGE
16,PRAGATI ENGINEERING COLLEGE
17,PRAGATI ENGINEERING COLLEGE
18,PRAGATI ENGINEERING COLLEGE
19,PRAGATI ENGINEERING COLLEGE
20,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC GAJWEL DEPARTMENT OF TECHNICAL EDUCATION GOVERNMENT OF ANDHRA PRADESH
21,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC GAJWEL DEPARTMENT OF TECHNICAL EDUCATION GOVERNMENT OF ANDHRA PRADESH
22,SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY
23,SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY
24,DR Y C JAMES YEN GOVT POLYTECHNIC KUPPAM
25,DR Y C JAMES YEN GOVT POLYTECHNIC KUPPAM
26,VELAMMAL ENGINEERING COLLEGE ENGG TECH
27,VELAMMAL ENGINEERING COLLEGE ENGG TECH
28,VELAMMAL ENGINEERING COLLEGE ENGG TECH
29,VELAMMAL ENGINEERING COLLEGE ENGG TECH
30,VELAMMAL ENGINEERING COLLEGE ENGG TECH
31,VELAMMAL ENGINEERING COLLEGE ENGG TECH
32,VELAMMAL ENGINEERING COLLEGE ENGG TECH
33,JAIN INSTITUTE OF TECHNOLOGY
34,JAIN INSTITUTE OF TECHNOLOGY
35,KDR GOVERNMENT POLYTECHNIC
36,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
37,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
38,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
39,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
40,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
41,G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY
42,G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY
43,G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY
44,G B PANT INSTITUTE OF ENGINEERING AND TECHNOLOGY
45,GOVT POLYTECHNIC DHENKANAL
46,GOVERNMENT POLYTECHNIC FOR WOMEN
47,GOVERNMENT POLYTECHNIC FOR WOMEN
48,SAHYADRI COLLEGE OF ENGINEERING MANAGEMENT
49,VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR
50,VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR
51,VIDYA VIKAS PRATISHTHAN POLYTECHNIC SOLAPUR
52,STELLA MARY S COLLEGE OF ENGINEERING
53,STELLA MARY S COLLEGE OF ENGINEERING
54,MVJ COLLEGE OF ENGINEERING
55,MVJ COLLEGE OF ENGINEERING
56,MVJ COLLEGE OF ENGINEERING
57,MVJ COLLEGE OF ENGINEERING
58,MVJ COLLEGE OF ENGINEERING
59,DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC
60,DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC
61,DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC
62,DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC
63,DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC
64,GURU GOBIND SINGH COLLEGE OF ENGINEERING AND RESEARCH CENTRE NASHIK
65,SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR
66,SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR
67,SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR
68,SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR
69,GOVT TOOL ROOM AND TRAINING CENTRE - BELGAUM
70,DMI COLLEGE OF ENGINEERING
71,DMI COLLEGE OF ENGINEERING
72,DMI COLLEGE OF ENGINEERING
73,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
74,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
75,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
76,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
77,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
78,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE
79,PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH
80,PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH
81,PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH
82,PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH
83,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
84,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
85,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
86,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
87,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
88,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
89,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
90,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
91,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
92,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
93,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
94,RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY
95,S A ENGINEERING COLLEGE
96,S A ENGINEERING COLLEGE
97,CHANDIGARH ENGINEERING COLLEGE-CGC LANDRAN MOHALI
98,CHANDIGARH ENGINEERING COLLEGE-CGC LANDRAN MOHALI
99,THAKUR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH
100,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
101,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
102,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
103,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
104,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
105,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
106,SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY SLIET DEEMED TO BE UNIVERSITY
107,K L S GOGTE INSTITUTE OF TECHNOLOGY
108,K L S GOGTE INSTITUTE OF TECHNOLOGY
109,K L S GOGTE INSTITUTE OF TECHNOLOGY
